"Taxon","Exclude","Hybrid","US","Standard","US_East","US_Gulf","US_West","Oligochaeta"
"Branchiura",,"IV",,"IV",,,,"Yes"
"Branchiura sowerbyi",,"IV",,"IV",,,,"Yes"
"Brania",,"II","II","II","II","II",,"No"
"Brania arminii",,"II",,"II",,,,"No"
"Brania clavata",,"II",,"II",,,,"No"
"Brania limbata",,"II",,"II",,,,"No"
"Brania oculata",,"II",,"II",,,,"No"
"Brania pusilla",,"II",,"II",,,,"No"
"Brania swedmarki",,"II",,"II",,,,"No"
"Brania tenuicirrata",,"II",,"II",,,,"No"
"Brania wellfleetensis",,"I","I","II","I","II",,"No"
"Bratislavia",,"I",,"I",,,,"No"
"Brisaster latifrons",,"II","II",,,,"II","No"
"Brissopsis",,"I",,"I",,,,"No"
"Brissopsis luzonica",,"I",,"I",,,,"No"
"Brissopsis lyrifera",,"I",,"I",,,,"No"
"Brissus latecarinatus",,"I",,"I",,,,"No"
"Brissus unicolor",,"I",,"I",,,,"No"
"Bryozoa",,"II",,"II",,,,"No"
"Buccinum",,"II",,"II",,,,"No"
"Buccinum bezoar",,"I",,"I",,,,"No"
"Buccinum humphreysianum",,"II",,"II",,,,"No"
"Buccinum ovum",,"II",,"II",,,,"No"
"Buccinum undatum",,"II",,"II",,,,"No"
"Bulla",,"II","II","II",,"II",,"No"
"Bulla gouldiana",,"I",,"I",,,,"No"
"Bulla striata",,"II",,"II",,,,"No"
"Bullacta exarata",,"I",,"I",,,,"No"
"Bullomorpha",,"I",,"I",,,,"No"
"Bushia rushii",,"I",,"I",,,,"No"
"Byblis",,"I",,"I",,,,"No"
"Byblis gaimardi",,"I",,"I",,,,"No"
"Byblis huanghaiensia",,"I",,"I",,,,"No"
"Byblis japonicus",,"I",,"I",,,,"No"
"Byblis millsi",,"II","II",,,,"II","No"
"Byblis veleronis",,"II","II",,,,"II","No"
"Bylgides",,"I",,"I",,,,"No"
"Bylgides macrolepidus",,"II","II",,,,"II","No"
"Bylgides sarsi",,"I",,"I",,,,"No"
"Cabira incerta",,"I","I",,"I",,,"No"
"Cadulus",,"II",,"II",,,,"No"
"Cadulus aberrans",,"II","II","II",,,"II","No"
"Cadulus jeffreysi",,"II",,"II",,,,"No"
"Caecognathia crenulatifrons",,"II","II",,,,"II","No"
"Caecognathia elongata",,"I",,"I",,,,"No"
"Caecum",,"I","I","I",,"I",,"No"
"Caecum californicum",,"II",,"II",,,,"No"
"Caecum cooperi",,"I","I","I",,"I",,"No"
"Caecum crebricinctum",,"II","I","II",,,"I","No"
"Caecum floridanum",,"I","I",,,"I",,"No"
"Caecum glabrum",,"I","I","I",,"I",,"No"
"Caecum imbricatum",,"I","I",,,"I",,"No"
"Caecum imperforatum",,"I",,"I",,,,"No"
"Caecum johnsoni",,"I","I",,,"I",,"No"
"Caecum nitidum",,"I","I","I",,"I",,"No"
"Caecum occidentale",,"II",,"II",,,,"No"
"Caecum pulchellum",,"I","I","I",,"I",,"No"
"Caecum regulare",,"I","I",,"I","I",,"No"
"Caecum trachea",,"I",,"I",,,,"No"
"Caenis",,"III",,"III",,,,"No"
"Calathura",,"II",,"II",,,,"No"
"Callianassa",,"III",,"III",,,,"No"
"Callianassa harmandi",,"III",,"III",,,,"No"
"Callianassa japonica",,"III",,"III",,,,"No"
"Callianassa marginata",,"III",,"III",,,,"No"
"Callianassa subterranea",,"III",,"III",,,,"No"
"Callianassa truncata",,"III",,"III",,,,"No"
"Callianassa tyrrhena",,"III",,"III",,,,"No"
"Callinectes",,"I",,"I",,,,"No"
"Callinectes sapidus",,"I",,"I",,,,"No"
"Callinectes similis",,"I",,"I",,,,"No"
"Calliostoma",,"I",,"I",,,,"No"
"Calliostoma granulatum",,"I",,"I",,,,"No"
"Calliostoma laugieri",,"I",,"I",,,,"No"
"Calliostoma papillosum",,"I",,"I",,,,"No"
"Calliostoma virescens",,"I",,"I",,,,"No"
"Calliostoma zizyphinum",,"I",,"I",,,,"No"
"Callipallene",,"I",,"I",,,,"No"
"Callipallene brevirostris",,"I",,"I",,,,"No"
"Callipallene emaciata",,"I",,"I",,,,"No"
"Callipallene emacinata",,"I",,"I",,,,"No"
"Callipallenidae",,"I",,"I",,,,"No"
"Callista chione",,"I",,"I",,,,"No"
"Callista impar",,"I",,"I",,,,"No"
"Callochiton septemvalvis",,"I",,"I",,,,"No"
"Calocarides",,"II",,"II",,,,"No"
"Calocarides coronatus",,"II",,"II",,,,"No"
"Calocarides spinulicauda",,"II","II",,,,"II","No"
"Calocaris",,"II",,"II",,,,"No"
"Calocaris macandreae",,"II",,"II",,,,"No"
"Calycella gracilis",,"I",,"I",,,,"No"
"Calycella syringa",,"I",,"I",,,,"No"
"Calyptraea chinensis",,"I",,"I",,,,"No"
"Calyptraea fastigiata",,"II",,"II",,,,"No"
"Calyptraea sinensis",,"I",,"I",,,,"No"
"Calyptraeidae","Yes",,,"I",,,,"No"
"Campanularia hincksii",,"II",,"II",,,,"No"
"Campanulina",,"II",,"II",,,,"No"
"Campanulina panicula",,"I",,"I",,,,"No"
"Campanulina pumila",,"II",,"II",,,,"No"
"Campylaspis",,"II","II","II",,"II",,"No"
"Campylaspis biplicata",,"I",,"I",,,,"No"
"Campylaspis canaliculata",,"I",,"I",,,,"No"
"Campylaspis costata",,"II",,"II",,,,"No"
"Campylaspis glabra",,"II",,"II",,,,"No"
"Campylaspis horrida",,"II",,"II",,,,"No"
"Campylaspis legendrei",,"II",,"II",,,,"No"
"Campylaspis macrophthalma",,"II",,"II",,,,"No"
"Campylaspis rubicunda",,"II",,"II",,,,"No"
"Campylaspis rubromaculata",,"I","I","I",,,"I","No"
"Campylaspis undata",,"II",,"II",,,,"No"
"Campylaspis verrucosa",,"II",,"II",,,,"No"
"Cancellaria",,"I",,"I",,,,"No"
"Cancellaria scalariformis",,"I",,"I",,,,"No"
"Cancer",,"II","II",,,,"II","No"
"Cancer antennarius",,"II",,"II",,,,"No"
"Cancer anthonyi",,"II",,"II",,,,"No"
"Cancer gracilis",,"II","II","II",,,"II","No"
"Cancer jordani",,"II",,"II",,,,"No"
"Cancer magister",,"II","II",,,,"II","No"
"Cancer pagurus",,"III",,"III",,,,"No"
"Cancilla salisburyi",,"I",,"I",,,,"No"
"Cantharus",,"I",,"I",,,,"No"
"Capitella",,"V","V","V",,"V",,"No"
"Capitella capitata",,"V","V","V","V","V","V","No"
"Capitella capitata Cmplx",,"V","V",,,,"V","No"
"Capitella giardi",,"V",,"V",,,,"No"
"Capitella jonesi",,"V","V",,,"V",,"No"
"Capitella minima",,"V",,"V",,,,"No"
"Capitella perarmata",,"V",,"V",,,,"No"
"Capitellidae","Yes",,,"V",,"IV",,"No"
"Capitellides giardi",,"V",,"V",,,,"No"
"Capitellides jonesi",,"III","III",,,"III",,"No"
"Capitomastus",,"V",,"V",,,,"No"
"Capitomastus minimus",,"V",,"V",,,,"No"
"Caprella",,"II",,"II",,,,"No"
"Caprella acanthifera",,"II",,"II",,,,"No"
"Caprella acutifrons",,"II",,"II",,,,"No"
"Caprella californica",,"II","II","II",,,"II","No"
"Caprella drepanochir",,"II","II",,,,"II","No"
"Caprella equilibra",,"II","II","II",,,"II","No"
"Caprella fretensis",,"II",,"II",,,,"No"
"Caprella gracilior",,"II",,"II",,,,"No"
"Caprella grandimana",,"II",,"II",,,,"No"
"Caprella laeviuscula",,"II","II",,,,"II","No"
"Caprella linearis",,"II",,"II",,,,"No"
"Caprella liparotensis",,"II",,"II",,,,"No"
"Caprella mendax",,"II","II","II",,,"II","No"
"Caprella natalensis",,"II",,"II",,,,"No"
"Caprella penantis",,"II","II","II","II",,,"No"
"Caprella santosrosasi",,"II",,"II",,,,"No"
"Caprella scaura",,"II",,"II",,,,"No"
"Caprella septentrionalis",,"II",,"II",,,,"No"
"Caprella tuberculata",,"II",,"II",,,,"No"
"Caprellidae","Yes",,,"II",,,,"No"
"Capulus intortus",,"I",,"I",,,,"No"
"Capulus ungaricus",,"I",,"I",,,,"No"
"Carazziella",,"III",,"III",,,,"No"
"Carazziella hobsonae",,"I","I",,"I","III",,"No"
"Carcinus",,"III",,"III",,,,"No"
"Carcinus aestuarii",,"III",,"III",,,,"No"
"Carcinus maenas",,"III",,"III",,,,"No"
"Cardiidae","Yes",,,"III",,,,"No"
"Cardiomya costellata",,"I",,"I",,,,"No"
"Cardiomya gemma",,"I",,"I",,,,"No"
"Cardiomya pectinata",,"II","II",,,,"II","No"
"Cardita",,"I",,"I",,,,"No"
"Cardita aculeata",,"I",,"I",,,,"No"
"Cardita calyculata",,"I",,"I",,,,"No"
"Carditella pallida",,"I",,"I",,,,"No"
"Cardites floridanus",,"I","I",,,"I",,"No"
"Carditopsis flabellum",,"I",,"I",,,,"No"
"Cardium",,"III",,"III",,,,"No"
"Cardium aculeata",,"I",,"I",,,,"No"
"Cardium echinatum",,"I",,"I",,,,"No"
"Cardium ovale",,"I",,"I",,,,"No"
"Cardium papillosum",,"I",,"I",,,,"No"
"Carinoma armandi",,"III",,"III",,,,"No"
"Carinoma mutabilis",,"II","II",,,,"II","No"
"Carinoma tremaphoros",,"III","III","III","III",,,"No"
"Carinomella lactea",,"I","I",,"I","II",,"No"
"Caryocorbula caribaea",,"IV","IV",,,"IV",,"No"
"Caryophyllia inornata",,"I",,"I",,,,"No"
"Caryophyllia smithii",,"I",,"I",,,,"No"
"Cassidinidea",,"II",,"II",,,,"No"
"Cassidinidea ovalis",,"II",,"II",,,,"No"
"Caudina arenicola",,"I",,"I",,,,"No"
"Caulleriella",,"III","III",,"III","IV",,"No"
"Caulleriella alata",,"II","II","IV",,"II",,"No"
"Caulleriella apicula",,"II",,"II",,,,"No"
"Caulleriella bioculata",,"IV",,"IV",,,,"No"
"Caulleriella capute-socis",,"IV",,"IV",,,,"No"
"Caulleriella cristata",,"IV",,"IV",,,,"No"
"Caulleriella killariensis",,"IV",,"IV",,,,"No"
"Caulleriella pacifica",,"II","II","II",,,"II","No"
"Caulleriella serrata",,"III",,"III",,,,"No"
"Caulleriella venefica",,"III","III",,"III",,,"No"
"Caulleriella viridis",,"IV",,"IV",,,,"No"
